#separator:tab
#html:true
#tags column:3
Define / recall: <b>2:4 Semi-Structured Sparsity</b>	Force exactly 2 of every 4 contiguous weights to zero so NVIDIA's Sparse Tensor Cores skip the zeros and deliver ~2x matmul throughput — the only sparsity pattern with broad hardware acceleration (Ampere+).	nthexp::bricks
Common mistake — 2:4 Semi-Structured Sparsity?	Expecting the ~2x speedup just from having 50% zeros. Random/unstructured 50% sparsity gets ~0x speedup on GPUs — you must satisfy the *exact* 2-of-4-per-contiguous-group layout (plus channel permutation to align), and you only see the gain on Sparse-Tensor-Core kernels for the supported dtypes; small or memory-bound GEMMs may not benefit at all.	nthexp::bricks::mistakes
Define / recall: <b>3D / nD Parallelism</b>	Compose data + tensor + pipeline (+ sequence + expert) parallelism along orthogonal axes of a logical device mesh so a trillion-parameter model fits in memory and trains at high MFU; the organizing framework for every frontier run.	nthexp::bricks
Common mistake — 3D / nD Parallelism?	Treating the axes as a free hyperparameter grid rather than a bandwidth-matched hierarchy. Putting TP across node boundaries strangles you on inter-node all-reduce; making PP too deep starves you on the pipeline bubble; over-sharding with ZeRO-3 across slow links bottlenecks the per-layer all-gather. The art is mapping the *cheapest* collective to…	nthexp::bricks::mistakes
Define / recall: <b>A/B Testing Statistics (Power, MDE, Multiple Comparisons)</b>	Sizing experiments so a real effect of size MDE is detectable with power 1−β at level α, shrinking variance via pairing/CUPED, and controlling family-wise error or FDR when comparing many models/metrics at once — the antidote to "model B scored 0.3 higher, so it's better."	nthexp::bricks
Common mistake — A/B Testing Statistics (Power, MDE, Multiple Comparisons)?	"Peeking": checking significance repeatedly and stopping at first p<0.05 inflates the false-positive rate far above α. Fixed-horizon tests assume one look at the planned n. To monitor continuously, use sequential/always-valid methods, not naive repeated t-tests. Equally common: reporting a single number with no CI and no power analysis, then…	nthexp::bricks::mistakes
Define / recall: <b>Activation Outliers / SmoothQuant</b>	A handful of feature channels in LLM activations grow to 10-100x the typical magnitude (concentrated, persistent, emerging at ~6.7B params), wrecking per-tensor activation quantization; SmoothQuant migrates that difficulty from activations into weights via a per-channel scale so both can be quantized cheaply (W8A8), while LLM.int8() instead keeps the outlier dimensions in FP16.	nthexp::bricks
Common mistake — Activation Outliers / SmoothQuant?	Thinking SmoothQuant *removes* the outliers. It doesn't — it relocates the dynamic-range difficulty into the weights via an algebraically exact rescale; total information is conserved, you've just rebalanced what each tensor must represent. Also: α is a per-layer knob, not a universal constant; too large over-loads the weights and hurts as much as…	nthexp::bricks::mistakes
Define / recall: <b>Activation Patching / Causal Tracing</b>	A causal intervention that copies activations from a clean run into a corrupted run (or vice versa) at specific components, measuring each component's causal effect on the output; the workhorse localization tool of mechanistic interpretability.	nthexp::bricks
Common mistake — Activation Patching / Causal Tracing?	Reading a patching effect as "this component computes the answer." It only shows the component is causally *on the path* in this contrast — effects are relative to your specific corruption and metric, and self-repair (downstream heads compensating for an ablated one) routinely hides true importance under noising.	nthexp::bricks::mistakes
Define / recall: <b>Adam Hyperparameters (betas, epsilon, bias correction)</b>	β1 (momentum decay), β2 (second-moment decay), and ε (denominator floor) set Adam's per-coordinate adaptive step, with the 1−βᵗ bias correction undoing the zero-initialization bias of the EMAs — and large β2 plus mis-scaled ε are recurring causes of LLM training instability and irreproducibility.	nthexp::bricks
Common mistake — Adam Hyperparameters (betas, epsilon, bias correction)?	Treating ε as a tiny numerical guard with no effect. It is a regularizer on the step size: in low-gradient regions √v̂ ≈ 0, so ε caps the maximum step (≈ η/ε scaling of m̂). Changing ε by orders of magnitude silently changes the effective LR and is a top repro gap. Likewise, β2 is not "just momentum for the variance" — it sets the timescale…	nthexp::bricks::mistakes
Define / recall: <b>Adam Update Rule (the m/v EMA equations)</b>	Per-parameter adaptive optimizer that keeps EMAs of the gradient (1st moment m) and its square (2nd moment v), bias-corrects both, and steps θ ← θ − η·m̂/(√v̂+ε) — a sign-like, scale-invariant update normalized by the gradient's RMS.	nthexp::bricks
Common mistake — Adam Update Rule (the m/v EMA equations)?	Confusing v (the **EMA of squared gradients**, a variance-like denominator) with the actual gradient variance, or thinking √v̂ acts per-step. It's a smoothed running estimate, so the effective step size ≈ η·sign(g) only when gradients are stationary; with noisy or sparse gradients the normalization lags and the update is not pure sign descent.	nthexp::bricks::mistakes
Define / recall: <b>AdamW</b>	Adam with *decoupled* weight decay — the L2 penalty is applied directly to the weights as a separate shrinkage step instead of being added into the gradient, making regularization independent of the adaptive per-parameter learning rate; the default optimizer and the baseline every new optimizer is benchmarked against.	nthexp::bricks
Common mistake — AdamW?	Thinking AdamW's "weight decay" equals L2 regularization. It does not — that equivalence holds for plain SGD but breaks under adaptive preconditioning. Adam-with-L2 ≠ AdamW. Also: in AdamW the effective shrinkage is η·λ, so **changing the LR rescales your regularization** unless you account for the coupling.	nthexp::bricks::mistakes
Define / recall: <b>Adapters & Prefix/Prompt Tuning</b>	The pre-LoRA PEFT family — freeze base weights and train either small bottleneck modules inserted between layers (adapters) or learned virtual tokens / KV vectors prepended to the sequence (prefix/prompt tuning), or per-channel rescalers (IA³).	nthexp::bricks
Common mistake — Adapters & Prefix/Prompt Tuning?	Conflating soft *prompt tuning* (P trainable input embeddings, attention layers untouched) with *prefix tuning* (trainable KV at every layer). Also: assuming adapters are latency-free like LoRA — sequential bottleneck adapters cannot be folded into W₀ and do add per-token compute, unlike IA³ scalers or merged LoRA.	nthexp::bricks::mistakes
Define / recall: <b>Agent Security & the Lethal Trifecta</b>	A tool-using agent is exploitable for data exfiltration precisely when three capabilities co-occur — access to private data, exposure to untrusted content, and the ability to externally communicate — so defenses break the trifecta via isolation, provenance tracking, and capability/egress limits (AgentDojo, CaMeL).	nthexp::bricks
Common mistake — Agent Security & the Lethal Trifecta?	Believing a better system prompt, an injection *classifier*, or model alignment "solves" prompt injection. Detection is probabilistic and adversarially defeatable — given the trifecta, a sufficiently clever injection will eventually succeed. The only robust fixes are architectural: break a leg of the trifecta (isolate data, sandbox untrusted…	nthexp::bricks::mistakes
Define / recall: <b>Agentic / Iterative Retrieval</b>	Turn RAG into a control loop — the model plans, issues multiple queries, reads results, decides whether evidence is sufficient, and reformulates or stops; retrieval becomes a multi-step search policy instead of a single fixed fetch.	nthexp::bricks
Common mistake — Agentic / Iterative Retrieval?	Conflating "more retrieval steps" with "better." Each extra hop adds noisy/distracting context that can *lower* accuracy (lost-in-the-middle, context rot) and burns latency/tokens. The hard part is the **stopping policy and query quality**, not the number of loops — over-retrieval is a real failure mode, and an under-trained sufficiency check…	nthexp::bricks::mistakes
Define / recall: <b>Agentic Memory Architectures</b>	An OS-like memory hierarchy for LLM agents — a small in-context working set (scratchpad) backed by external long-term stores (vector/graph/file/SQL) that the agent reads and writes via tool calls to persist state across steps and sessions beyond the finite context window.	nthexp::bricks
Common mistake — Agentic Memory Architectures?	Treating retrieval as a dump: stuffing top-k vector hits into context every turn. This bloats the prompt, buries the signal (lost-in-the-middle), and conflates relevance with usefulness. Good memory is *write-and-curate* — summarize, deduplicate, decay, and reflect — not just append-and-retrieve. Also: vector recall alone has no notion of recency…	nthexp::bricks::mistakes
Define / recall: <b>Agentic Reinforcement Learning (Tool / Agent RL)</b>	RL over multi-turn trajectories where the policy interleaves reasoning with real tool calls (search, code execution, browser) and is optimized against outcome/verifiable rewards on the final result — extending RLVR from single-turn answers to interactive, environment-grounded agents.	nthexp::bricks
Common mistake — Agentic Reinforcement Learning (Tool / Agent RL)?	Computing the policy-gradient loss over the *entire* trajectory including injected tool-output tokens. Those tokens weren't sampled from π_θ — backpropping through them makes the model try to "predict the environment," corrupting the gradient. Always mask observation tokens; only model-emitted actions carry loss.	nthexp::bricks::mistakes
Define / recall: <b>AI Safety via Debate</b>	A scalable-oversight protocol where two AIs argue opposing answers and a weaker (human or model) judge picks the winner — betting that exposing a lie is easier than telling one, so honesty is the equilibrium strategy even when the judge can't verify directly.	nthexp::bricks
Common mistake — AI Safety via Debate?	Assuming the asymmetry ("truth is easier to defend") holds universally. It can fail: **obfuscated arguments** — a dishonest debater splits a false claim into many sub-claims each too costly for the honest side to fully refute within the budget, and persuasive-but-wrong rhetoric can beat a weak judge. Debate is a *conjecture* about an equilibrium,…	nthexp::bricks::mistakes
Define / recall: <b>Alignment (Overview)</b>	The problem of making capable models reliably pursue intended goals/values — in 2024-26 practice a pipeline of preference learning (RLHF/DPO), AI-feedback scaling (RLAIF/Constitutional AI), and scalable oversight, fighting reward hacking, sycophancy, and deceptive generalization.	nthexp::bricks
Common mistake — Alignment (Overview)?	Conflating alignment with capability or with "refuses bad requests." Alignment is goal-faithfulness: a model can be highly capable, pass evals, and still be misaligned via **reward hacking** (optimizing the proxy r, not intent — Goodhart), **sycophancy** (telling raters what they want), or **deceptive alignment** (behaving aligned only while…	nthexp::bricks::mistakes
Define / recall: <b>ANN Vector Search (HNSW / IVF-PQ)</b>	Approximate nearest-neighbor indexes that trade exactness for sublinear query time via navigable small-world graphs (HNSW) or coarse-cluster routing plus product-quantized residuals (IVF-PQ) — the retrieval infrastructure under every RAG and dense-retrieval system.	nthexp::bricks
